ccgcode,indicator_group,Register_description,disease_register_size,ccg_listsize,prevalence
06Q,OB,Obesity,26664,377179,7.0693225233
06Q,OST,Osteoporosis,437,377179,0.1158601089
06Q,PAD,Peripheral Atrial Disease,1717,377179,0.4552215261
06Q,PC,Palliative Care,785,377179,0.2081239942
06Q,RA,Rheumatoid Arthritis,2597,377179,0.6885325005
06Q,SMOK,Smoking Indicators,90168,377179,23.905890837
06Q,STIA,Stroke,6107,377179,1.6191251369
06Q,THY,Thyroid,14445,377179,3.829746619
06T,AF,Atrial Fibrillation,6614,330971,1.9983623943
06T,AST,Asthma,20945,330971,6.3283490094
06T,CAN,Cancer,7986,330971,2.4129002239
06T,CHD,Coronary Heart Disease,12347,330971,3.7305383251
06T,CKD,Chronic Kidney Disease,12548,330971,3.7912687214
06T,COPD,Chronic Obstructive Pulmonary Disease,7343,330971,2.2186233839
06T,CVDPP,Cardiovascular Disease - Primary Prevention,11725,330971,3.5426064519
06T,DEM,Dementia,2117,330971,0.6396330796
06T,DEP,Depression,17496,330971,5.2862637512
06T,DM,Diabetes,17608,330971,5.320103574
06T,EP,Epilepsy,2413,330971,0.7290668971
06T,HF,Heart Failure,2982,330971,0.9009852827
06T,HF,Heart Failure due to LVD,517,330971,0.1562070393
06T,HYP,Hypertension,53237,330971,16.085095069
06T,LD,Learning  Disabilities,1922,330971,0.580715531
06T,MH,Mental Health,2972,330971,0.8979638699
06T,OB,Obesity,26460,330971,7.9946581423
06T,OST,Osteoporosis,507,330971,0.1531856265
06T,PAD,Peripheral Atrial Disease,2184,330971,0.6598765451
06T,PC,Palliative Care,1480,330971,0.4471690873
06T,RA,Rheumatoid Arthritis,2204,330971,0.6659193706
06T,SMOK,Smoking Indicators,87727,330971,26.505947651
06T,STIA,Stroke,6314,330971,1.9077200117
06T,THY,Thyroid,16700,330971,5.0457592961
06V,AF,Atrial Fibrillation,4467,168915,2.644525353
06V,AST,Asthma,12769,168915,7.5594233786
06V,CAN,Cancer,5428,168915,3.2134505521
06V,CHD,Coronary Heart Disease,7732,168915,4.5774501968
06V,CKD,Chronic Kidney Disease,8396,168915,4.9705473167
06V,COPD,Chronic Obstructive Pulmonary Disease,3570,168915,2.1134890329
06V,CVDPP,Cardiovascular Disease - Primary Prevention,5404,168915,3.1992422224
06V,DEM,Dementia,1689,168915,0.9999111979
06V,DEP,Depression,8007,168915,4.7402539739
06V,DM,Diabetes,9463,168915,5.6022259716
06V,EP,Epilepsy,1253,168915,0.7417932096
06V,HF,Heart Failure,1848,168915,1.0940413818
06V,HF,Heart Failure due to LVD,335,168915,0.1983246011
06V,HYP,Hypertension,29401,168915,17.405795814
06V,LD,Learning  Disabilities,1002,168915,0.5931977622
06V,MH,Mental Health,1424,168915,0.8430275582
06V,OB,Obesity,14632,168915,8.6623449664
06V,OST,Osteoporosis,376,168915,0.2225971643
06V,PAD,Peripheral Atrial Disease,1667,168915,0.9868868958
06V,PC,Palliative Care,585,168915,0.3463280348
06V,RA,Rheumatoid Arthritis,1758,168915,1.0407601456
06V,SMOK,Smoking Indicators,50802,168915,30.075481751
06V,STIA,Stroke,4307,168915,2.5498031554
06V,THY,Thyroid,7707,168915,4.5626498535
06W,AF,Atrial Fibrillation,3177,211166,1.5045035659
06W,AST,Asthma,14229,211166,6.7383006734
06W,CAN,Cancer,4098,211166,1.9406533249
06W,CHD,Coronary Heart Disease,6305,211166,2.9858026387
06W,CKD,Chronic Kidney Disease,4898,211166,2.3195021926
06W,COPD,Chronic Obstructive Pulmonary Disease,3654,211166,1.7303922033
06W,CVDPP,Cardiovascular Disease - Primary Prevention,4320,211166,2.0457838857
06W,DEM,Dementia,1212,211166,0.5739560346
06W,DEP,Depression,10649,211166,5.0429519904
06W,DM,Diabetes,8450,211166,4.0015911652
06W,EP,Epilepsy,1582,211166,0.7491736359
06W,HF,Heart Failure,1544,211166,0.7311783147
06W,HF,Heart Failure due to LVD,240,211166,0.1136546603
06W,HYP,Hypertension,25382,211166,12.01992745
06W,LD,Learning  Disabilities,1102,211166,0.5218643153
06W,MH,Mental Health,2425,211166,1.1483856303
06W,OB,Obesity,13772,211166,6.5218832577
06W,OST,Osteoporosis,393,211166,0.1861095063
06W,PAD,Peripheral Atrial Disease,1273,211166,0.6028432608
06W,PC,Palliative Care,496,211166,0.234886298
06W,RA,Rheumatoid Arthritis,1552,211166,0.7349668034
06W,SMOK,Smoking Indicators,47502,211166,22.495098643
06W,STIA,Stroke,3590,211166,1.7000842939
06W,THY,Thyroid,7332,211166,3.4721498726
06Y,AF,Atrial Fibrillation,4691,228173,2.055896184
06Y,AST,Asthma,15446,228173,6.7694249539
06Y,CAN,Cancer,6135,228173,2.6887493262
06Y,CHD,Coronary Heart Disease,8233,228173,3.6082270908
06Y,CKD,Chronic Kidney Disease,7722,228173,3.384274213
06Y,COPD,Chronic Obstructive Pulmonary Disease,4088,228173,1.7916230229
06Y,CVDPP,Cardiovascular Disease - Primary Prevention,6936,228173,3.0397987492
06Y,DEM,Dementia,1706,228173,0.7476782967
06Y,DEP,Depression,11918,228173,5.2232297423
06Y,DM,Diabetes,11144,228173,4.8840134459
06Y,EP,Epilepsy,1456,228173,0.6381123095
06Y,HF,Heart Failure,1995,228173,0.8743365779
06Y,HF,Heart Failure due to LVD,448,228173,0.1963422491
06Y,HYP,Hypertension,35426,228173,15.525938652
06Y,LD,Learning  Disabilities,997,228173,0.436949157
06Y,MH,Mental Health,1454,228173,0.6372357816
06Y,OB,Obesity,19912,228173,8.7267117494
06Y,OST,Osteoporosis,355,228173,0.1555837018
06Y,PAD,Peripheral Atrial Disease,1400,228173,0.6135695284
06Y,PC,Palliative Care,938,228173,0.411091584
06Y,RA,Rheumatoid Arthritis,1758,228173,0.7704680221
06Y,SMOK,Smoking Indicators,59841,228173,26.226152963
06Y,STIA,Stroke,4439,228173,1.9454536689
06Y,THY,Thyroid,9339,228173,4.0929470183
07G,AF,Atrial Fibrillation,1991,166018,1.1992675493
07G,AST,Asthma,9142,166018,5.506631811
07G,CAN,Cancer,2762,166018,1.6636750232
07G,CHD,Coronary Heart Disease,4497,166018,2.7087424255
07G,CKD,Chronic Kidney Disease,5304,166018,3.1948342951
07G,COPD,Chronic Obstructive Pulmonary Disease,2989,166018,1.8004071848
07G,CVDPP,Cardiovascular Disease - Primary Prevention,5362,166018,3.2297702659
07G,DEM,Dementia,715,166018,0.4306761917
07G,DEP,Depression,9339,166018,5.6252936429
07G,DM,Diabetes,7901,166018,4.7591225048
07G,EP,Epilepsy,924,166018,0.5565661555
07G,HF,Heart Failure,1103,166018,0.6643857895
07G,HF,Heart Failure due to LVD,216,166018,0.130106374
07G,HYP,Hypertension,23456,166018,14.128588466
07G,LD,Learning  Disabilities,626,166018,0.3770675469
07G,MH,Mental Health,1119,166018,0.6740232987
07G,OB,Obesity,14691,166018,8.8490404655
07G,OST,Osteoporosis,127,166018,0.0764977292
07G,PAD,Peripheral Atrial Disease,796,166018,0.479466082
07G,PC,Palliative Care,263,166018,0.1584165572
07G,RA,Rheumatoid Arthritis,1142,166018,0.6878772181
07G,SMOK,Smoking Indicators,38131,166018,22.967991423
07G,STIA,Stroke,2469,166018,1.4871881362
07G,THY,Thyroid,6618,166018,3.986314737
07H,AF,Atrial Fibrillation,4758,295355,1.6109427638
07H,AST,Asthma,17189,295355,5.8197762015
07H,CAN,Cancer,6467,295355,2.1895684854
07H,CHD,Coronary Heart Disease,8893,295355,3.0109529211
07H,CKD,Chronic Kidney Disease,7439,295355,2.5186639806
07H,COPD,Chronic Obstructive Pulmonary Disease,4858,295355,1.644800325
07H,CVDPP,Cardiovascular Disease - Primary Prevention,8332,295355,2.8210120025
07H,DEM,Dementia,1888,295355,0.6392307562
07H,DEP,Depression,14998,295355,5.0779570348
07H,DM,Diabetes,13899,295355,4.7058624367
07H,EP,Epilepsy,1598,295355,0.5410438286
07H,HF,Heart Failure,2334,295355,0.7902354793
07H,HF,Heart Failure due to LVD,919,295355,0.3111509878
07H,HYP,Hypertension,41455,295355,14.035652012
07H,LD,Learning  Disabilities,653,295355,0.2210898749
07H,MH,Mental Health,2030,295355,0.6873084932
07H,OB,Obesity,20563,295355,6.9621303178
07H,OST,Osteoporosis,288,295355,0.0975097764
07H,PAD,Peripheral Atrial Disease,1546,295355,0.5234378968
07H,PC,Palliative Care,724,295355,0.2451287434
07H,RA,Rheumatoid Arthritis,2075,295355,0.7025443957
07H,SMOK,Smoking Indicators,68662,295355,23.247278699
07H,STIA,Stroke,4630,295355,1.5676050854
07H,THY,Thyroid,9532,295355,3.2273027374
07J,AF,Atrial Fibrillation,4119,167235,2.463001166
07J,AST,Asthma,11177,167235,6.6834095734
07J,CAN,Cancer,4581,167235,2.7392591264
07J,CHD,Coronary Heart Disease,7642,167235,4.569617604
07J,CKD,Chronic Kidney Disease,6276,167235,3.752802942
07J,COPD,Chronic Obstructive Pulmonary Disease,4183,167235,2.501270667
07J,CVDPP,Cardiovascular Disease - Primary Prevention,4844,167235,2.8965228571
07J,DEM,Dementia,1188,167235,0.7103776123
07J,DEP,Depression,8912,167235,5.3290280145
07J,DM,Diabetes,10723,167235,6.4119353006
07J,EP,Epilepsy,1101,167235,0.6583550094
07J,HF,Heart Failure,1480,167235,0.8849822107
07J,HF,Heart Failure due to LVD,233,167235,0.1393249021
07J,HYP,Hypertension,30042,167235,17.963942955
07J,LD,Learning  Disabilities,673,167235,0.4024277215
07J,MH,Mental Health,1105,167235,0.6607468532
07J,OB,Obesity,14702,167235,8.7912219332
07J,OST,Osteoporosis,255,167235,0.1524800431
07J,PAD,Peripheral Atrial Disease,1146,167235,0.6852632523
07J,PC,Palliative Care,409,167235,0.2445660298
07J,RA,Rheumatoid Arthritis,1554,167235,0.9292313212
07J,SMOK,Smoking Indicators,48734,167235,29.141029091
07J,STIA,Stroke,4148,167235,2.4803420337
07J,THY,Thyroid,7304,167235,4.3675068018
07K,AF,Atrial Fibrillation,4229,240618,1.7575576225
07K,AST,Asthma,16178,240618,6.7235202686
07K,CAN,Cancer,6527,240618,2.7125983925
07K,CHD,Coronary Heart Disease,8203,240618,3.409138136
07K,CKD,Chronic Kidney Disease,6373,240618,2.6485965306
07K,COPD,Chronic Obstructive Pulmonary Disease,4674,240618,1.9424980675
07K,CVDPP,Cardiovascular Disease - Primary Prevention,7572,240618,3.1468967409
07K,DEM,Dementia,1514,240618,0.6292131096
07K,DEP,Depression,13804,240618,5.7368941642
07K,DM,Diabetes,11849,240618,4.9244029956
07K,EP,Epilepsy,1404,240618,0.583497494
07K,HF,Heart Failure,1941,240618,0.8066728175
07K,HF,Heart Failure due to LVD,396,240618,0.1645762162
07K,HYP,Hypertension,35372,240618,14.700479598
07K,LD,Learning  Disabilities,868,240618,0.3607377669
07K,MH,Mental Health,1876,240618,0.7796590446
07K,OB,Obesity,18026,240618,7.4915426111
07K,OST,Osteoporosis,279,240618,0.1159514251
07K,PAD,Peripheral Atrial Disease,1446,240618,0.6009525472
07K,PC,Palliative Care,889,240618,0.3694652935
07K,RA,Rheumatoid Arthritis,1667,240618,0.6927993749
07K,SMOK,Smoking Indicators,60961,240618,25.335178582
07K,STIA,Stroke,4212,240618,1.7504924819
07K,THY,Thyroid,10002,240618,4.1567962497
07L,AF,Atrial Fibrillation,1749,204795,0.8540247565
07L,AST,Asthma,9850,204795,4.8096877365
07L,CAN,Cancer,2399,204795,1.1714153178
07L,CHD,Coronary Heart Disease,4394,204795,2.1455601943
07L,CKD,Chronic Kidney Disease,4018,204795,1.961961962
07L,COPD,Chronic Obstructive Pulmonary Disease,3405,204795,1.662638248
07L,CVDPP,Cardiovascular Disease - Primary Prevention,6483,204795,3.165604629
07L,DEM,Dementia,750,204795,0.3662198784
07L,DEP,Depression,5538,204795,2.7041675822
07L,DM,Diabetes,10797,204795,5.2721013697
07L,EP,Epilepsy,1052,204795,0.5136844161
07L,HF,Heart Failure,868,204795,0.4238384726
07L,HF,Heart Failure due to LVD,161,204795,0.0786152006
07L,HYP,Hypertension,24938,204795,12.177055104
07L,LD,Learning  Disabilities,725,204795,0.3540125491
07L,MH,Mental Health,1562,204795,0.7627139334
07L,OB,Obesity,18757,204795,9.1589150126
07L,OST,Osteoporosis,159,204795,0.0776386142
07L,PAD,Peripheral Atrial Disease,724,204795,0.353524256
07L,PC,Palliative Care,238,204795,0.1162137748
07L,RA,Rheumatoid Arthritis,989,204795,0.4829219463
07L,SMOK,Smoking Indicators,40922,204795,19.981933153
07L,STIA,Stroke,1943,204795,0.9487536317
07L,THY,Thyroid,4793,204795,2.3403891697
07M,AF,Atrial Fibrillation,4587,387817,1.1827743498
07M,AST,Asthma,17609,387817,4.5405436069
07M,CAN,Cancer,7400,387817,1.908116457
07M,CHD,Coronary Heart Disease,10273,387817,2.6489297787
07M,CKD,Chronic Kidney Disease,9002,387817,2.3211978846
07M,COPD,Chronic Obstructive Pulmonary Disease,4247,387817,1.0951041342
07M,CVDPP,Cardiovascular Disease - Primary Prevention,10894,387817,2.809056849
07M,DEM,Dementia,2396,387817,0.6178171663
07M,DEP,Depression,14497,387817,3.7381032807
07M,DM,Diabetes,18234,387817,4.7017020915
07M,EP,Epilepsy,1760,387817,0.4538222925
07M,HF,Heart Failure,1996,387817,0.5146757362
07M,HF,Heart Failure due to LVD,444,387817,0.1144869874
07M,HYP,Hypertension,45907,387817,11.83728408
07M,LD,Learning  Disabilities,1107,387817,0.2854439078
07M,MH,Mental Health,3802,387817,0.9803592932
07M,OB,Obesity,19369,387817,4.9943658994
07M,OST,Osteoporosis,511,387817,0.131763177
07M,PAD,Peripheral Atrial Disease,1626,387817,0.4192699134
07M,PC,Palliative Care,1166,387817,0.3006572688
07M,RA,Rheumatoid Arthritis,1567,387817,0.4040565524
07M,SMOK,Smoking Indicators,77325,387817,19.938527708
07M,STIA,Stroke,4957,387817,1.2781801726
07M,THY,Thyroid,11754,387817,3.0308109237
07N,AF,Atrial Fibrillation,3477,229288,1.516433481
07N,AST,Asthma,11965,229288,5.2183280416
07N,CAN,Cancer,4587,229288,2.0005408046
07N,CHD,Coronary Heart Disease,6608,229288,2.8819650396
07N,CKD,Chronic Kidney Disease,6252,229288,2.7267017899
07N,COPD,Chronic Obstructive Pulmonary Disease,4138,229288,1.8047172115
07N,CVDPP,Cardiovascular Disease - Primary Prevention,6328,229288,2.7598478769
07N,DEM,Dementia,1434,229288,0.6254143261
07N,DEP,Depression,8111,229288,3.5374725236
07N,DM,Diabetes,12331,229288,5.3779526185
07N,EP,Epilepsy,1273,229288,0.5551969575
07N,HF,Heart Failure,1498,229288,0.6533268204
07N,HF,Heart Failure due to LVD,334,229288,0.1456683298
07N,HYP,Hypertension,32363,229288,14.114563344
07N,LD,Learning  Disabilities,606,229288,0.2642964307
07N,MH,Mental Health,1683,229288,0.7340113743
07N,OB,Obesity,19941,229288,8.6969226475
07N,OST,Osteoporosis,305,229288,0.1330204808
07N,PAD,Peripheral Atrial Disease,1134,229288,0.4945745089
07N,PC,Palliative Care,721,229288,0.3144516939
07N,RA,Rheumatoid Arthritis,1427,229288,0.622361397
07N,SMOK,Smoking Indicators,53844,229288,23.483130386
07N,STIA,Stroke,3536,229288,1.5421653117
07N,THY,Thyroid,8091,229288,3.5287498692
07P,AF,Atrial Fibrillation,2466,355339,0.6939851803
07P,AST,Asthma,16603,355339,4.6724395577
07P,CAN,Cancer,4562,355339,1.2838444415
07P,CHD,Coronary Heart Disease,7889,355339,2.22013345
07P,CKD,Chronic Kidney Disease,5775,355339,1.6252086036
07P,COPD,Chronic Obstructive Pulmonary Disease,2701,355339,0.7601192101
07P,CVDPP,Cardiovascular Disease - Primary Prevention,11426,355339,3.2155209532
07P,DEM,Dementia,1309,355339,0.3683806168
07P,DEP,Depression,10347,355339,2.9118672592
07P,DM,Diabetes,23079,355339,6.494924565
07P,EP,Epilepsy,1489,355339,0.4190364694
07P,HF,Heart Failure,1885,355339,0.5304793451
07P,HF,Heart Failure due to LVD,323,355339,0.0908991132
07P,HYP,Hypertension,43220,355339,12.163033047
07P,LD,Learning  Disabilities,1166,355339,0.3281373562
07P,MH,Mental Health,4102,355339,1.154390596
07P,OB,Obesity,23159,355339,6.5174382773
07P,OST,Osteoporosis,265,355339,0.0745766719
07P,PAD,Peripheral Atrial Disease,1220,355339,0.3433341119
07P,PC,Palliative Care,599,355339,0.1685714205
07P,RA,Rheumatoid Arthritis,1535,355339,0.4319818539
07P,SMOK,Smoking Indicators,70653,355339,19.883266402
07P,STIA,Stroke,3759,355339,1.0578630547
07P,THY,Thyroid,7566,355339,2.1292343368
07Q,AF,Atrial Fibrillation,5434,335777,1.6183359789
07Q,AST,Asthma,17412,335777,5.1855844802
07Q,CAN,Cancer,7346,335777,2.1877615203
07Q,CHD,Coronary Heart Disease,10065,335777,2.9975251432
07Q,CKD,Chronic Kidney Disease,10050,335777,2.9930578926
07Q,COPD,Chronic Obstructive Pulmonary Disease,4455,335777,1.326773424
07Q,CVDPP,Cardiovascular Disease - Primary Prevention,9592,335777,2.8566578414
07Q,DEM,Dementia,1902,335777,0.5664473743
07Q,DEP,Depression,16789,335777,5.0000446725
07Q,DM,Diabetes,14013,335777,4.1733054974
07Q,EP,Epilepsy,1622,335777,0.4830586967
07Q,HF,Heart Failure,2367,335777,0.7049321425
07Q,HF,Heart Failure due to LVD,641,335777,0.1909005084
07Q,HYP,Hypertension,46266,335777,13.778787707
07Q,LD,Learning  Disabilities,785,335777,0.233786114
07Q,MH,Mental Health,2667,335777,0.7942771542
07Q,OB,Obesity,20908,335777,6.2267516834
07Q,OST,Osteoporosis,432,335777,0.1286568169
07Q,PAD,Peripheral Atrial Disease,1555,335777,0.4631049774
07Q,PC,Palliative Care,623,335777,0.1855398077
07Q,RA,Rheumatoid Arthritis,1782,335777,0.5307093696
07Q,SMOK,Smoking Indicators,81818,335777,24.366767229
07Q,STIA,Stroke,5121,335777,1.52511935
07Q,THY,Thyroid,10483,335777,3.1220125262
07R,AF,Atrial Fibrillation,2310,250532,0.9220379033
07R,AST,Asthma,9810,250532,3.9156674596
07R,CAN,Cancer,3725,250532,1.486836013
07R,CHD,Coronary Heart Disease,3984,250532,1.5902160203
07R,CKD,Chronic Kidney Disease,4768,250532,1.9031500966
07R,COPD,Chronic Obstructive Pulmonary Disease,2777,250532,1.108441237
07R,CVDPP,Cardiovascular Disease - Primary Prevention,5775,250532,2.3050947584
07R,DEM,Dementia,965,250532,0.3851803362
07R,DEP,Depression,12311,250532,4.913943129
07R,DM,Diabetes,8119,250532,3.2407037824
07R,EP,Epilepsy,985,250532,0.3931633484
07R,HF,Heart Failure,1421,250532,0.5671930133
07R,HF,Heart Failure due to LVD,769,250532,0.3069468172
07R,HYP,Hypertension,20708,250532,8.2656107803
07R,LD,Learning  Disabilities,513,250532,0.2047642617
07R,MH,Mental Health,3477,250532,1.3878466623
07R,OB,Obesity,10427,250532,4.1619433845
07R,OST,Osteoporosis,215,250532,0.0858173806
07R,PAD,Peripheral Atrial Disease,1021,250532,0.4075327703
07R,PC,Palliative Care,447,250532,0.1784203216
07R,RA,Rheumatoid Arthritis,870,250532,0.3472610285
07R,SMOK,Smoking Indicators,37514,250532,14.97373589
07R,STIA,Stroke,2272,250532,0.9068701803
07R,THY,Thyroid,6341,250532,2.5310140022
07T,AF,Atrial Fibrillation,1808,285718,0.6327917737
07T,AST,Asthma,12946,285718,4.5310410965
07T,CAN,Cancer,3282,285718,1.1486850671
07T,CHD,Coronary Heart Disease,4505,285718,1.5767295025
07T,CKD,Chronic Kidney Disease,3992,285718,1.3971818366
07T,COPD,Chronic Obstructive Pulmonary Disease,2948,285718,1.0317865868
07T,CVDPP,Cardiovascular Disease - Primary Prevention,7354,285718,2.5738665397
07T,DEM,Dementia,806,285718,0.2820963327
07T,DEP,Depression,12956,285718,4.534541051
07T,DM,Diabetes,12752,285718,4.4631419792
07T,EP,Epilepsy,1132,285718,0.3961948495
07T,HF,Heart Failure,1748,285718,0.6117920467
07T,HF,Heart Failure due to LVD,356,285718,0.1245983802
07T,HYP,Hypertension,27379,285718,9.5825254272
07T,LD,Learning  Disabilities,910,285718,0.3184958596
07T,MH,Mental Health,3851,285718,1.3478324782
07T,OB,Obesity,21961,285718,7.6862500787
07T,OST,Osteoporosis,145,285718,0.0507493403
07T,PAD,Peripheral Atrial Disease,934,285718,0.3268957504
07T,PC,Palliative Care,370,285718,0.1294983165
07T,RA,Rheumatoid Arthritis,941,285718,0.3293457185
07T,SMOK,Smoking Indicators,47615,285718,16.665033355
07T,STIA,Stroke,2471,285718,0.8648387571
07T,THY,Thyroid,3935,285718,1.377232096
07V,AF,Atrial Fibrillation,3714,391792,0.9479519745
07V,AST,Asthma,18739,391792,4.7828950055
07V,CAN,Cancer,6339,391792,1.617950341
07V,CHD,Coronary Heart Disease,8949,391792,2.2841201454
07V,CKD,Chronic Kidney Disease,10258,391792,2.6182259975
07V,COPD,Chronic Obstructive Pulmonary Disease,4133,391792,1.0548964757
07V,CVDPP,Cardiovascular Disease - Primary Prevention,10130,391792,2.5855556009
07V,DEM,Dementia,1716,391792,0.4379875036
07V,DEP,Depression,13076,391792,3.3374851962
07V,DM,Diabetes,19888,391792,5.0761628619
07V,EP,Epilepsy,1986,391792,0.5069016213
07V,HF,Heart Failure,1703,391792,0.4346694164
07V,HF,Heart Failure due to LVD,450,391792,0.1148568628
07V,HYP,Hypertension,47440,391792,12.108465717
07V,LD,Learning  Disabilities,1586,391792,0.4048066321
07V,MH,Mental Health,4129,391792,1.0538755258
07V,OB,Obesity,25195,391792,6.4307081308
07V,OST,Osteoporosis,292,391792,0.0745293421
07V,PAD,Peripheral Atrial Disease,1543,391792,0.3938314208
07V,PC,Palliative Care,1625,391792,0.4147608935
07V,RA,Rheumatoid Arthritis,1904,391792,0.4859721485
07V,SMOK,Smoking Indicators,83058,391792,21.199514028
07V,STIA,Stroke,4648,391792,1.1863437742
07V,THY,Thyroid,14453,391792,3.6889471965
07W,AF,Atrial Fibrillation,3520,408265,0.8621851004
07W,AST,Asthma,19502,408265,4.7767993828
07W,CAN,Cancer,5356,408265,1.3118930107
07W,CHD,Coronary Heart Disease,9796,408265,2.3994219441
07W,CKD,Chronic Kidney Disease,6790,408265,1.6631354635
07W,COPD,Chronic Obstructive Pulmonary Disease,3289,408265,0.8056042032
07W,CVDPP,Cardiovascular Disease - Primary Prevention,9643,408265,2.3619462849
07W,DEM,Dementia,1276,408265,0.3125420989
07W,DEP,Depression,11074,408265,2.7124539209
07W,DM,Diabetes,22333,408265,5.4702215473
07W,EP,Epilepsy,1660,408265,0.4065986553
07W,HF,Heart Failure,1853,408265,0.4538718724
07W,HF,Heart Failure due to LVD,295,408265,0.0722569899
07W,HYP,Hypertension,45612,408265,11.17215534
07W,LD,Learning  Disabilities,792,408265,0.1939916476
07W,MH,Mental Health,4095,408265,1.003024996
07W,OB,Obesity,25121,408265,6.153111337
07W,OST,Osteoporosis,294,408265,0.072012051
07W,PAD,Peripheral Atrial Disease,1305,408265,0.3196453284
07W,PC,Palliative Care,612,408265,0.1499026368
07W,RA,Rheumatoid Arthritis,1727,408265,0.4230095649
07W,SMOK,Smoking Indicators,76433,408265,18.721418686
07W,STIA,Stroke,3679,408265,0.9011303932
07W,THY,Thyroid,11960,408265,2.9294698296
07X,AF,Atrial Fibrillation,3241,313873,1.0325832423
07X,AST,Asthma,15313,313873,4.8787248346
07X,CAN,Cancer,5079,313873,1.6181704065
07X,CHD,Coronary Heart Disease,7706,313873,2.4551331271
07X,CKD,Chronic Kidney Disease,6596,313873,2.1014869071
07X,COPD,Chronic Obstructive Pulmonary Disease,3228,313873,1.0284414397
07X,CVDPP,Cardiovascular Disease - Primary Prevention,9466,313873,3.0158694759
07X,DEM,Dementia,1444,313873,0.4600586862
07X,DEP,Depression,10636,313873,3.3886317077
07X,DM,Diabetes,16921,313873,5.3910339532
07X,EP,Epilepsy,1473,313873,0.4692980919
07X,HF,Heart Failure,1647,313873,0.5247345264
07X,HF,Heart Failure due to LVD,423,313873,0.1347678838
07X,HYP,Hypertension,41876,313873,13.341701899
07X,LD,Learning  Disabilities,947,313873,0.3017143877
07X,MH,Mental Health,3134,313873,0.9984930211
07X,OB,Obesity,23727,313873,7.559426902
07X,OST,Osteoporosis,400,313873,0.1274400793
07X,PAD,Peripheral Atrial Disease,1273,313873,0.4055780523
07X,PC,Palliative Care,254,313873,0.0809244503
07X,RA,Rheumatoid Arthritis,1372,313873,0.4371194719
07X,SMOK,Smoking Indicators,66306,313873,21.12510474
07X,STIA,Stroke,3745,313873,1.1931577421
07X,THY,Thyroid,7147,313873,2.2770356163
07Y,AF,Atrial Fibrillation,2492,292220,0.8527821504
07Y,AST,Asthma,12795,292220,4.3785504072
07Y,CAN,Cancer,4075,292220,1.3944972966
07Y,CHD,Coronary Heart Disease,6602,292220,2.2592567244
07Y,CKD,Chronic Kidney Disease,5927,292220,2.0282663746
07Y,COPD,Chronic Obstructive Pulmonary Disease,2846,292220,0.9739237561
07Y,CVDPP,Cardiovascular Disease - Primary Prevention,6544,292220,2.2394086647
07Y,DEM,Dementia,1061,292220,0.363082609
07Y,DEP,Depression,9916,292220,3.3933337896
07Y,DM,Diabetes,14834,292220,5.0763123674
07Y,EP,Epilepsy,1305,292220,0.4465813428
07Y,HF,Heart Failure,1364,292220,0.4667716104
07Y,HF,Heart Failure due to LVD,213,292220,0.0728902881
07Y,HYP,Hypertension,32221,292220,11.026281569
07Y,LD,Learning  Disabilities,770,292220,0.2635001027
07Y,MH,Mental Health,2413,292220,0.8257477243
07Y,OB,Obesity,18978,292220,6.4944220108
07Y,OST,Osteoporosis,220,292220,0.0752857436
07Y,PAD,Peripheral Atrial Disease,860,292220,0.294298816
07Y,PC,Palliative Care,524,292220,0.179316953
07Y,RA,Rheumatoid Arthritis,1463,292220,0.5006501951
07Y,SMOK,Smoking Indicators,54060,292220,18.499760454
07Y,STIA,Stroke,2825,292220,0.9667373896
07Y,THY,Thyroid,7935,292220,2.7154198891
08A,AF,Atrial Fibrillation,2464,276321,0.8917165181
08A,AST,Asthma,13989,276321,5.0625902483
08A,CAN,Cancer,4006,276321,1.4497631378
08A,CHD,Coronary Heart Disease,5974,276321,2.1619782789
08A,CKD,Chronic Kidney Disease,6559,276321,2.3736885723
08A,COPD,Chronic Obstructive Pulmonary Disease,3935,276321,1.4240683842
08A,CVDPP,Cardiovascular Disease - Primary Prevention,8255,276321,2.9874674744
08A,DEM,Dementia,1032,276321,0.3734786715
08A,DEP,Depression,9909,276321,3.5860466631
08A,DM,Diabetes,13133,276321,4.7528056138
08A,EP,Epilepsy,1379,276321,0.4990572559
08A,HF,Heart Failure,1415,276321,0.5120855816
08A,HF,Heart Failure due to LVD,438,276321,0.1585112966
08A,HYP,Hypertension,34357,276321,12.43372744
08A,LD,Learning  Disabilities,922,276321,0.3336698984
08A,MH,Mental Health,3106,276321,1.124054994
08A,OB,Obesity,25659,276321,9.2859391794
08A,OST,Osteoporosis,183,276321,0.0662273226
08A,PAD,Peripheral Atrial Disease,1263,276321,0.4570770951
08A,PC,Palliative Care,825,276321,0.2985657985
08A,RA,Rheumatoid Arthritis,1216,276321,0.4400678921
08A,SMOK,Smoking Indicators,56160,276321,20.324188172
08A,STIA,Stroke,2907,276321,1.0520373044
08A,THY,Thyroid,6811,276321,2.4648868526
08C,AF,Atrial Fibrillation,1703,202253,0.8420147044
08C,AST,Asthma,8923,202253,4.411801061
08C,CAN,Cancer,2757,202253,1.3631441808
08C,CHD,Coronary Heart Disease,3514,202253,1.737427875
08C,CKD,Chronic Kidney Disease,2954,202253,1.4605469387
08C,COPD,Chronic Obstructive Pulmonary Disease,2265,202253,1.1198845011
